Telefonica SA Quarterly Net Income (Millions of US $),Telefonica SA Quarterly Net Income (Millions of US $).1
2024-06-30,$481
2024-03-31,$578
2023-12-31,"$-2,610"
2023-09-30,$546
2023-06-30,$504
2023-03-31,$320
2022-12-31,$302
2022-09-30,$463
2022-06-30,$341
2022-03-31,$792
2021-09-30,$833
2021-06-30,
2021-03-31,"$1,068"
2020-12-31,"$1,078"
2020-09-30,$-187
2020-06-30,$468
2020-03-31,$448
2019-12-31,"$-1,289"
2019-09-30,$-493
2019-06-30,"$2,009"
2019-03-31,"$1,052"
2018-12-31,$30
2018-09-30,"$1,324"
2018-06-30,"$1,076"
2018-03-31,"$1,029"
2017-09-30,$986
2017-03-31,$830
2016-09-30,"$1,097"
2016-03-31,$856
2015-12-31,"$-2,006"
2015-09-30,$983
2015-06-30,"$2,091"
2015-03-31,"$2,031"
2014-12-31,$172
2014-09-30,"$1,177"
2014-06-30,"$1,621"
2014-03-31,$963
2013-12-31,"$1,985"
2013-09-30,"$1,467"
2013-06-30,"$1,522"
2013-03-31,"$1,180"
2012-12-31,$619
2012-09-30,"$1,766"
2012-06-30,"$1,610"
2012-03-31,$969
2011-12-31,"$3,581"
2011-09-30,$-586
2011-06-30,"$2,213"
2011-03-31,"$2,307"
2010-12-31,"$1,836"
2010-09-30,"$6,527"
2010-06-30,"$2,756"
2010-03-31,"$2,295"
2009-12-31,"$3,604"
2009-09-30,"$2,845"
2009-06-30,"$2,808"
2009-03-31,"$2,302"
