Brunswick Quarterly Net Income (Millions of US $),Brunswick Quarterly Net Income (Millions of US $).1
2024-06-30,$100
2024-03-31,$68
2023-12-31,$61
2023-09-30,$113
2023-06-30,$135
2023-03-31,$112
2022-12-31,$142
2022-09-30,$164
2022-06-30,$197
2022-03-31,$174
2021-12-31,$102
2021-09-30,$143
2021-06-30,$179
2021-03-31,$169
2020-12-31,$95
2020-09-30,$138
2020-06-30,$71
2020-03-31,$69
2019-12-31,$67
2019-09-30,$-239
2019-06-30,$78
2019-03-31,$-36
2018-12-31,$43
2018-09-30,$70
2018-06-30,$79
2018-03-31,$73
2017-12-31,$-117
2017-09-30,$79
2017-06-30,$119
2017-03-31,$65
2016-12-31,$18
2016-09-30,$85
2016-06-30,$108
2016-03-31,$65
2015-12-31,$-9
2015-09-30,$76
2015-06-30,$118
2015-03-31,$57
2014-12-31,$-4
2014-09-30,$104
2014-06-30,$89
2014-03-31,$57
2013-12-31,$581
2013-09-30,$58
2013-06-30,$80
2013-03-31,$50
2012-12-31,$-75
2012-09-30,$2
2012-06-30,$84
2012-03-31,$40
2011-12-31,$-30
2011-09-30,$5
2011-06-30,$69
2011-03-31,$28
2010-12-31,$-104
2010-09-30,$-7
2010-06-30,$14
2010-03-31,$-13
2009-12-31,$-124
2009-09-30,$-114
2009-06-30,$-164
2009-03-31,$-184
