Celestica Quarterly Net Income (Millions of US $),Celestica Quarterly Net Income (Millions of US $).1
2024-06-30,$100
2024-03-31,$102
2023-12-31,$84
2023-09-30,$80
2023-06-30,$56
2023-03-31,$25
2022-12-31,$42
2022-09-30,$46
2022-06-30,$36
2022-03-31,$22
2021-12-31,$32
2021-09-30,$35
2021-06-30,$26
2021-03-31,$11
2020-12-31,$20
2020-09-30,$30
2020-06-30,$13
2020-03-31,$-3
2019-12-31,$-7
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$90
2018-12-31,$60
2018-09-30,$9
2018-06-30,$16
2018-03-31,$14
2017-12-31,$14
2017-09-30,$35
2017-06-30,$35
2017-03-31,$23
2016-12-31,$21
2016-09-30,$54
2016-06-30,$36
2016-03-31,$26
2015-12-31,$12
2015-09-30,$11
2015-06-30,$24
2015-03-31,$20
2014-12-31,$-4
2014-09-30,$34
2014-06-30,$41
2014-03-31,$37
2013-12-31,$22
2013-09-30,$57
2013-06-30,$28
2013-03-31,$11
2012-12-31,$7
2012-09-30,$44
2012-06-30,$24
2012-03-31,$43
2011-12-31,$69
2011-09-30,$50
2011-06-30,$46
2011-03-31,$30
2010-12-31,$26
2010-09-30,$35
2010-06-30,$-6
2010-03-31,$26
2009-12-31,$31
2009-09-30,$-1
2009-06-30,$5
2009-03-31,$19
