BRF S.A Quarterly Net Income (Millions of US $),BRF S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$189
2024-03-31,$102
2023-12-31,$146
2023-09-30,$-79
2023-06-30,$-274
2023-03-31,$-199
2022-12-31,$-239
2022-09-30,$-23
2022-06-30,$-50
2022-03-31,$-301
2021-12-31,$165
2021-09-30,$-54
2021-06-30,$-37
2021-03-31,$4
2020-12-31,$208
2020-09-30,$40
2020-06-30,$57
2020-03-31,$-10
2019-12-31,$150
2019-09-30,$74
2019-06-30,$82
2019-03-31,$-266
2018-12-31,$-535
2018-09-30,$-203
2018-06-30,$-441
2018-03-31,$-38
2017-12-31,$-252
2017-09-30,$41
2017-06-30,$-52
2017-03-31,$-90
2016-12-31,$-131
2016-09-30,$6
2016-06-30,$9
2016-03-31,$10
2015-09-30,$251
2015-03-31,$163
2014-12-31,$344
2014-09-30,$276
2014-06-30,$118
2014-03-31,$141
2013-12-31,$89
2013-09-30,$131
2013-06-30,$92
2013-03-31,$182
2012-12-31,$285
2012-09-30,$44
2012-06-30,$3
2012-03-31,$81
2011-12-31,$66
2011-09-30,$211
2011-06-30,$312
2011-03-31,$231
2010-12-31,$216
2010-09-30,$109
2010-06-30,$74
2010-03-31,$30
2009-12-31,$13
2009-09-30,$123
2009-06-30,$70
2009-03-31,$-108
