SentinelOne Quarterly Net Income (Millions of US $),SentinelOne Quarterly Net Income (Millions of US $).1
2024-07-31,$-69
2024-04-30,$-70
2024-01-31,$-72
2023-10-31,$-70
2023-07-31,$-90
2023-04-30,$-107
2023-01-31,$-94
2022-10-31,$-99
2022-07-31,$-96
2022-04-30,$-90
2022-01-31,$-72
2021-10-31,$-69
2021-07-31,$-68
2021-04-30,$-63
2021-01-31,$-38
2020-10-31,$-30
2020-07-31,$-23
2020-04-30,$-27
2020-01-31,
