Korn/Ferry Quarterly Net Income (Millions of US $),Korn/Ferry Quarterly Net Income (Millions of US $).1
2024-07-31,$62
2024-04-30,$64
2024-01-31,$58
2023-10-31,$-2
2023-07-31,$46
2023-04-30,$46
2023-01-31,$11
2022-10-31,$72
2022-07-31,$76
2022-04-30,$90
2022-01-31,$82
2021-10-31,$74
2021-07-31,$73
2021-04-30,$65
2021-01-31,$50
2020-10-31,$28
2020-07-31,$-31
2020-04-30,$-1
2020-01-31,$20
2019-10-31,$42
2019-07-31,$43
2019-04-30,$49
2019-01-31,$45
2018-10-31,$46
2018-07-31,$-39
2018-04-30,$40
2018-01-31,$27
2017-10-31,$36
2017-07-31,$29
2017-04-30,$26
2017-01-31,$24
2016-10-31,$30
2016-07-31,$3
2016-04-30,$6
2016-01-31,$-16
2015-10-31,$18
2015-07-31,$23
2015-04-30,$25
2015-01-31,$23
2014-10-31,$25
2014-07-31,$15
2014-04-30,$21
2014-01-31,$21
2013-10-31,$19
2013-07-31,$11
2013-04-30,$12
2013-01-31,$9
2012-10-31,$1
2012-07-31,$10
2012-04-30,$12
2012-01-31,$12
2011-10-31,$15
2011-07-31,$15
2011-04-30,$20
2011-01-31,$14
2010-10-31,$14
2010-07-31,$11
2010-04-30,$9
2010-01-31,$8
2009-10-31,$3
2009-07-31,$-14
2009-04-30,$-17
2009-01-31,$-22
