Fidelity National Financial Quarterly Net Income (Millions of US $),Fidelity National Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$306
2024-03-31,$248
2023-12-31,$-69
2023-09-30,$426
2023-06-30,$219
2023-03-31,$-59
2022-12-31,$-5
2022-09-30,$362
2022-06-30,$537
2022-03-31,$400
2021-12-31,$908
2021-09-30,$732
2021-06-30,$552
2021-03-31,$605
2020-12-31,$801
2020-09-30,$378
2020-06-30,$309
2020-03-31,$-61
2019-12-31,$340
2019-09-30,$250
2019-06-30,$266
2019-03-31,$206
2018-12-31,$44
2018-09-30,$236
2018-06-30,$251
2018-03-31,$97
2017-12-31,$238
2017-09-30,$165
2017-06-30,$296
2017-03-31,$72
2016-12-31,$223
2016-09-30,$156
2016-06-30,$197
2016-03-31,$74
2015-12-31,$139
2015-09-30,$132
2015-06-30,$170
2015-03-31,$86
2014-12-31,$391
2014-09-30,$102
2014-06-30,$112
2014-03-31,$-22
2013-12-31,$72
2013-09-30,$94
2013-06-30,$138
2013-03-31,$90
2012-12-31,$152
2012-09-30,$234
2012-06-30,$147
2012-03-31,$74
2011-12-31,$172
2011-09-30,$74
2011-06-30,$80
2011-03-31,$43
2010-12-31,$131
2010-09-30,$83
2010-06-30,$140
2010-03-31,$17
2009-12-31,$69
2009-09-30,$73
2009-06-30,$92
2009-03-31,$-12
