ASGN Quarterly Net Income (Millions of US $),ASGN Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$38
2023-12-31,$50
2023-09-30,$59
2023-06-30,$60
2023-03-31,$50
2022-12-31,$56
2022-09-30,$73
2022-06-30,$73
2022-03-31,$67
2021-12-31,$85
2021-09-30,$212
2021-06-30,$64
2021-03-31,$49
2020-12-31,$55
2020-09-30,$52
2020-06-30,$49
2020-03-31,$44
2019-12-31,$39
2019-09-30,$57
2019-06-30,$43
2019-03-31,$35
2018-12-31,$46
2018-09-30,$49
2018-06-30,$34
2018-03-31,$29
2017-12-31,$67
2017-09-30,$35
2017-06-30,$33
2017-03-31,$22
2016-12-31,$24
2016-09-30,$30
2016-06-30,$26
2016-03-31,$17
2015-12-31,$19
2015-09-30,$25
2015-06-30,$14
2015-03-31,$39
2014-12-31,$20
2014-09-30,$22
2014-06-30,$21
2014-03-31,$14
2013-12-31,$32
2013-09-30,$20
2013-06-30,$7
2013-03-31,$25
2012-12-31,$14
2012-09-30,$16
2012-06-30,$8
2012-03-31,$5
2011-12-31,$8
2011-09-30,$8
2011-06-30,$6
2011-03-31,$3
2010-12-31,$-14
2010-09-30,$3
2010-06-30,$1
2010-03-31,$-0
2009-12-31,$1
2009-09-30,$1
2009-06-30,$1
2009-03-31,$2
