Armstrong World Industries Quarterly Net Income (Millions of US $),Armstrong World Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$66
2024-03-31,$60
2023-12-31,$47
2023-09-30,$70
2023-06-30,$60
2023-03-31,$47
2022-12-31,$49
2022-09-30,$58
2022-06-30,$52
2022-03-31,$44
2021-12-31,$42
2021-09-30,$51
2021-06-30,$55
2021-03-31,$35
2020-12-31,$23
2020-09-30,$54
2020-06-30,$50
2020-03-31,$-226
2019-12-31,$48
2019-09-30,$73
2019-06-30,$55
2019-03-31,$39
2018-12-31,$35
2018-09-30,$76
2018-06-30,$47
2018-03-31,$28
2017-12-31,$34
2017-09-30,$49
2017-06-30,$41
2017-03-31,$30
2016-12-31,$27
2016-09-30,$71
2016-06-30,$17
2016-03-31,$-10
2015-12-31,$-14
2015-09-30,$32
2015-06-30,$30
2015-03-31,$47
2014-12-31,$-4
2014-09-30,$32
2014-06-30,$19
2014-03-31,$17
2013-12-31,$11
2013-09-30,$50
2013-06-30,$30
2013-03-31,$3
2012-12-31,$8
2012-09-30,$63
2012-06-30,$42
2012-03-31,$18
2011-12-31,$9
2011-09-30,$53
2011-06-30,$38
2011-03-31,$13
2010-12-31,$-21
2010-09-30,$25
2010-06-30,$27
2010-03-31,$-19
2009-12-31,$-4
2009-09-30,$64
2009-06-30,$28
2009-03-31,$-11
