ArcelorMittal Quarterly Net Income (Millions of US $),ArcelorMittal Quarterly Net Income (Millions of US $).1
2024-06-30,$504
2024-03-31,$938
2023-12-31,"$-2,966"
2023-09-30,$929
2023-06-30,"$1,860"
2023-03-31,"$1,096"
2022-12-31,$261
2022-09-30,$993
2022-06-30,"$3,923"
2022-03-31,"$4,125"
2021-12-31,"$4,045"
2021-09-30,"$4,621"
2021-06-30,"$4,005"
2021-03-31,"$2,285"
2020-12-31,"$1,207"
2020-09-30,$-261
2020-06-30,$-559
2020-03-31,"$-1,120"
2019-12-31,"$-1,882"
2019-09-30,$-539
2019-06-30,$-447
2019-03-31,$414
2018-12-31,"$1,193"
2018-09-30,$899
2018-06-30,"$1,865"
2018-03-31,"$1,192"
2017-12-31,"$1,039"
2017-09-30,"$1,205"
2017-06-30,"$1,322"
2017-03-31,"$1,002"
2016-12-31,$403
2016-09-30,$680
2016-06-30,"$1,112"
2016-03-31,$-416
2015-12-31,"$-6,686"
2015-09-30,$-711
2015-06-30,$179
2015-03-31,$-728
2014-12-31,$-955
2014-09-30,$22
2014-06-30,$52
2014-03-31,$-205
2013-12-31,"$-1,284"
2013-09-30,$-193
2013-06-30,$-780
2013-03-31,$-345
2012-12-31,"$-3,808"
2012-09-30,$-652
2012-06-30,"$1,016"
2012-03-31,$92
2011-12-31,"$-1,000"
2011-09-30,$659
2011-06-30,"$1,535"
2011-03-31,"$1,069"
2010-12-31,$-780
2010-09-30,"$1,350"
2010-06-30,"$1,706"
2010-03-31,$640
2009-12-31,"$1,070"
2009-09-30,$910
2009-06-30,$-792
2009-03-31,"$-1,063"
