Glacier Bancorp Quarterly Net Income (Millions of US $),Glacier Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$33
2023-12-31,$54
2023-09-30,$52
2023-06-30,$55
2023-03-31,$61
2022-12-31,$80
2022-09-30,$79
2022-06-30,$76
2022-03-31,$68
2021-12-31,$51
2021-09-30,$76
2021-06-30,$78
2021-03-31,$81
2020-12-31,$82
2020-09-30,$78
2020-06-30,$63
2020-03-31,$43
2019-12-31,$57
2019-09-30,$52
2019-06-30,$52
2019-03-31,$49
2018-12-31,$50
2018-09-30,$49
2018-06-30,$44
2018-03-31,$39
2017-12-31,$15
2017-09-30,$36
2017-06-30,$34
2017-03-31,$31
2016-12-31,$31
2016-09-30,$31
2016-06-30,$30
2016-03-31,$29
2015-12-31,$30
2015-09-30,$30
2015-06-30,$29
2015-03-31,$28
2014-12-31,$28
2014-09-30,$29
2014-06-30,$29
2014-03-31,$27
2013-12-31,$27
2013-09-30,$26
2013-06-30,$23
2013-03-31,$21
2012-12-31,$21
2012-09-30,$19
2012-06-30,$19
2012-03-31,$16
2011-12-31,$14
2011-09-30,$-19
2011-06-30,$12
2011-03-31,$10
2010-12-31,$10
2010-09-30,$9
2010-06-30,$13
2010-03-31,$10
2009-12-31,$9
2009-09-30,$-2
2009-06-30,$11
2009-03-31,$16
