Aegon Quarterly Net Income (Millions of US $),Aegon Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-06-30,$73
2022-12-31,"$-1,386"
2022-09-30,$-205
2022-06-30,$-388
2022-03-31,$432
2021-12-31,$913
2021-09-30,$-93
2021-06-30,"$1,015"
2021-03-31,$462
2017-12-31,"$1,177"
2017-09-30,$551
2017-06-30,$549
2017-03-31,$366
2016-12-31,$288
2016-09-30,$359
2016-06-30,$-469
2016-03-31,$158
2015-12-31,$705
2015-09-30,$-583
2015-06-30,$352
2015-03-31,$316
2014-12-31,$454
2014-09-30,$65
2014-06-30,$458
2014-03-31,$537
2013-12-31,$237
2013-09-30,$307
2013-06-30,$322
2013-03-31,$267
2012-12-31,$564
2012-09-30,$475
2012-06-30,$315
2012-03-31,$675
2011-12-31,$103
2011-09-30,$85
2011-06-30,$579
2011-03-31,$-132
2010-12-31,$432
2010-09-30,$848
2010-06-30,$527
2010-03-31,$473
2009-12-31,$580
2009-09-30,$207
2009-06-30,$-219
2009-03-31,$-236
