Spotify Technology Quarterly Net Income (Millions of US $),Spotify Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$295
2024-03-31,$214
2023-12-31,$-76
2023-09-30,$71
2023-06-30,$-329
2023-03-31,$-242
2022-12-31,$-300
2022-09-30,$-167
2022-06-30,$-133
2022-03-31,$147
2021-12-31,$-46
2021-09-30,$2
2021-06-30,$-24
2021-03-31,$28
2020-12-31,$-155
2020-09-30,$-118
2020-06-30,$-392
2020-03-31,$1
2019-12-31,$-230
2019-09-30,$268
2019-06-30,$-85
2019-03-31,$-161
2018-12-31,$536
2018-09-30,$50
2018-06-30,$-470
2018-03-31,$-208
2017-12-31,
