Roivant Sciences Quarterly Net Income (Millions of US $),Roivant Sciences Quarterly Net Income (Millions of US $).1
2024-06-30,$95
2024-03-31,$-151
2023-12-31,"$5,096"
2023-09-30,$-304
2023-06-30,$-292
2023-03-31,$-34
2022-12-31,$-352
2022-09-30,$-292
2022-06-30,$-332
2022-03-31,$-270
2021-12-31,$-285
2021-09-30,$-208
2021-06-30,$-82
2021-03-31,$-510
2020-12-31,$-261
2020-09-30,$-35
2020-06-30,$-3
