Under Armour Quarterly Net Income (Millions of US $),Under Armour Quarterly Net Income (Millions of US $).1
2024-06-30,$-305
2024-03-31,$-2
2023-12-31,$114
2023-09-30,$110
2023-06-30,$10
2023-03-31,$158
2022-12-31,$122
2022-09-30,$87
2022-06-30,$8
2022-03-31,$-60
2021-12-31,
2021-09-30,$113
2021-06-30,$59
2021-03-31,$78
2020-12-31,
2020-09-30,$39
2020-06-30,$-183
2020-03-31,$-590
2019-12-31,
2019-09-30,$102
2019-06-30,$-17
2019-03-31,$22
2018-12-31,
2018-09-30,$75
2018-06-30,$-96
2018-03-31,$-30
2017-12-31,
2017-09-30,$54
2017-06-30,$-12
2017-03-31,$-2
2016-12-31,
2016-09-30,$128
2016-06-30,$-53
2016-03-31,$19
2015-12-31,
2015-09-30,$100
2015-06-30,$15
2015-03-31,$12
2014-12-31,
2014-09-30,$89
2014-06-30,$18
2014-03-31,$14
2013-12-31,
2013-09-30,$73
2013-06-30,$18
2013-03-31,$8
2012-12-31,
2012-09-30,$57
2012-06-30,$7
2012-03-31,$15
2011-12-31,
2011-09-30,$46
2011-06-30,$6
2011-03-31,$12
2010-12-31,
2010-09-30,$35
2010-06-30,$3
2010-03-31,$7
2009-12-31,
2009-09-30,$26
2009-06-30,$1
2009-03-31,$4
