Northern Oil And Gas Quarterly Net Income (Millions of US $),Northern Oil And Gas Quarterly Net Income (Millions of US $).1
2024-06-30,$139
2024-03-31,$12
2023-12-31,$389
2023-09-30,$26
2023-06-30,$168
2023-03-31,$340
2022-12-31,$133
2022-09-30,$581
2022-06-30,$238
2022-03-31,$-225
2021-12-31,$171
2021-09-30,$9
2021-06-30,$-94
2021-03-31,$-94
2020-12-31,$-146
2020-09-30,$-237
2020-06-30,$-903
2020-03-31,$365
2019-12-31,$-109
2019-09-30,$94
2019-06-30,$44
2019-03-31,$-107
2018-12-31,$218
2018-09-30,$19
2018-06-30,$-97
2018-03-31,$3
2017-12-31,$-24
2017-09-30,$-16
2017-06-30,$14
2017-03-31,$17
2016-12-31,$-12
2016-09-30,$-46
2016-06-30,$-109
2016-03-31,$-127
2015-12-31,$-172
2015-09-30,$-323
2015-06-30,$-250
2015-03-31,$-230
2014-12-31,$104
2014-09-30,$58
2014-06-30,$-4
2014-03-31,$7
2013-12-31,$17
2013-09-30,$2
2013-06-30,$25
2013-03-31,$9
2012-12-31,$20
2012-09-30,$0
2012-06-30,$44
2012-03-31,$9
2011-12-31,$-1
2011-09-30,$29
2011-06-30,$20
2011-03-31,$-7
2010-12-31,$-2
2010-09-30,$1
2010-06-30,$6
2010-03-31,$2
2009-12-31,$1
2009-09-30,$2
2009-06-30,$0
2009-03-31,$-0
