LPL Financial Holdings Quarterly Net Income (Millions of US $),LPL Financial Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$244
2024-03-31,$289
2023-12-31,$218
2023-09-30,$224
2023-06-30,$286
2023-03-31,$339
2022-12-31,$319
2022-09-30,$232
2022-06-30,$161
2022-03-31,$134
2021-12-31,$108
2021-09-30,$103
2021-06-30,$119
2021-03-31,$130
2020-12-31,$112
2020-09-30,$104
2020-06-30,$102
2020-03-31,$156
2019-12-31,$127
2019-09-30,$132
2019-06-30,$146
2019-03-31,$155
2018-12-31,$120
2018-09-30,$107
2018-06-30,$119
2018-03-31,$94
2017-12-31,$64
2017-09-30,$58
2017-06-30,$68
2017-03-31,$48
2016-12-31,$42
2016-09-30,$52
2016-06-30,$48
2016-03-31,$50
2015-12-31,$27
2015-09-30,$41
2015-06-30,$50
2015-03-31,$51
2014-12-31,$49
2014-09-30,$33
2014-06-30,$43
2014-03-31,$53
2013-12-31,$44
2013-09-30,$38
2013-06-30,$45
2013-03-31,$55
2012-12-31,$37
2012-09-30,$34
2012-06-30,$40
2012-03-31,$41
2011-12-31,$38
2011-09-30,$36
2011-06-30,$46
2011-03-31,$49
2010-12-31,$-117
2010-09-30,$26
2010-06-30,$8
2010-03-31,$26
2009-12-31,$19
2009-09-30,$-1
2009-06-30,$16
2009-03-31,$15
