Globant S.A Quarterly Net Income (Millions of US $),Globant S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$40
2024-03-31,$45
2023-12-31,$42
2023-09-30,$43
2023-06-30,$37
2023-03-31,$36
2022-12-31,$39
2022-09-30,$36
2022-06-30,$37
2022-03-31,$37
2021-12-31,$29
2021-09-30,$25
2021-06-30,$20
2021-03-31,$22
2020-12-31,$6
2020-09-30,$25
2020-06-30,$10
2020-03-31,$13
2019-09-30,$15
2019-03-31,$12
2018-12-31,$12
2018-09-30,$16
2018-06-30,$14
2018-03-31,$10
2017-12-31,$12
2017-09-30,$8
2017-06-30,$2
2017-03-31,$9
2016-12-31,$9
2016-09-30,$10
2016-06-30,$9
2016-03-31,$8
2015-12-31,$8
2015-09-30,$8
2015-06-30,$8
2015-03-31,$8
2014-12-31,$8
2014-09-30,$8
2014-06-30,$6
2014-03-31,$3
2013-12-31,$-4
2013-09-30,$10
2013-06-30,$6
2013-03-31,$2
2012-12-31,
