Antero Resources Quarterly Net Income (Millions of US $),Antero Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$-66
2024-03-31,$36
2023-12-31,$95
2023-09-30,$18
2023-06-30,$-83
2023-03-31,$213
2022-12-31,$730
2022-09-30,$560
2022-06-30,$765
2022-03-31,$-156
2021-12-31,$901
2021-09-30,$-549
2021-06-30,$-523
2021-03-31,$-15
2020-12-31,$70
2020-09-30,$-536
2020-06-30,$-463
2020-03-31,$-339
2019-12-31,$-482
2019-09-30,$-879
2019-06-30,$42
2019-03-31,$979
2018-12-31,$-122
2018-09-30,$-154
2018-06-30,$-136
2018-03-31,$15
2017-12-31,$487
2017-09-30,$-135
2017-06-30,$-5
2017-03-31,$268
2016-12-31,$-486
2016-09-30,$238
2016-06-30,$-596
2016-03-31,$-5
2015-12-31,$158
2015-09-30,$534
2015-06-30,$-145
2015-03-31,$394
2014-12-31,$607
2014-09-30,$204
2014-06-30,$-42
2014-03-31,$-95
2013-12-31,$-223
2013-09-30,$121
2013-06-30,$131
2013-03-31,$-48
2012-12-31,$-7
2012-09-30,$-128
2012-06-30,$-478
2012-03-31,$328
2011-12-31,
2010-12-31,
