Eagle Materials Inc Quarterly Net Income (Millions of US $),Eagle Materials Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$134
2024-03-31,$77
2023-12-31,$129
2023-09-30,$151
2023-06-30,$121
2023-03-31,$100
2022-12-31,$117
2022-09-30,$139
2022-06-30,$105
2022-03-31,$74
2021-12-31,$102
2021-09-30,$102
2021-06-30,$95
2021-03-31,$66
2020-12-31,$81
2020-09-30,$96
2020-06-30,$96
2020-03-31,$72
2019-12-31,$-115
2019-09-30,$72
2019-06-30,$41
2019-03-31,$-128
2018-12-31,$58
2018-09-30,$73
2018-06-30,$66
2018-03-31,$37
2017-12-31,$101
2017-09-30,$63
2017-06-30,$55
2017-03-31,$36
2016-12-31,$56
2016-09-30,$60
2016-06-30,$45
2016-03-31,$39
2015-12-31,$46
2015-09-30,$30
2015-06-30,$38
2015-03-31,$47
2014-12-31,$52
2014-09-30,$50
2014-06-30,$38
2014-03-31,$23
2013-12-31,$32
2013-09-30,$40
2013-06-30,$30
2013-03-31,$8
2012-12-31,$18
2012-09-30,$18
2012-06-30,$14
2012-03-31,$9
2011-12-31,$3
2011-09-30,$6
2011-06-30,$1
2011-03-31,$-11
2010-12-31,$5
2010-09-30,$10
2010-06-30,$11
2010-03-31,$2
2009-12-31,$5
2009-09-30,$10
2009-06-30,$12
2009-03-31,$7
