Coca Cola Femsa S.A.B De C.V Quarterly Net Income (Millions of US $),Coca Cola Femsa S.A.B De C.V Quarterly Net Income (Millions of US $).1
2024-03-31,$295
2023-12-31,$352
2023-09-30,$315
2023-06-30,$279
2023-03-31,$210
2022-12-31,$387
2022-09-30,$216
2022-06-30,$231
2022-03-31,$141
2021-12-31,$274
2021-09-30,$171
2021-06-30,$166
2021-03-31,$155
2020-12-31,$187
2020-09-30,$112
2020-06-30,$91
2020-03-31,$129
2019-12-31,$118
2019-09-30,$207
2019-06-30,$182
2019-03-31,$135
2018-12-31,$264
2018-09-30,$172
2018-06-30,$144
2018-03-31,$129
2017-12-31,"$-1,240"
2017-09-30,$177
2017-06-30,$120
2017-03-31,$291
2016-12-31,$115
2016-09-30,$129
2016-06-30,$111
2016-03-31,$133
2015-12-31,$180
2015-09-30,$121
2015-06-30,$176
2015-03-31,$143
2014-12-31,$204
2014-09-30,$247
2014-06-30,$207
2014-03-31,$176
2013-12-31,$231
2013-09-30,$229
2013-06-30,$222
2013-03-31,$198
2012-12-31,$337
2012-09-30,$273
2012-06-30,$199
2012-03-31,$200
2011-12-31,$248
2011-09-30,$172
2011-06-30,$225
2011-03-31,$203
2010-12-31,$251
2010-09-30,$171
2010-06-30,$194
2010-03-31,$183
2009-12-31,$231
2009-09-30,$163
2009-06-30,$164
2009-03-31,$99
