Dell Quarterly Net Income (Millions of US $),Dell Quarterly Net Income (Millions of US $).1
2024-07-31,$846
2024-04-30,$960
2024-01-31,"$1,160"
2023-10-31,"$1,006"
2023-07-31,$462
2023-04-30,$583
2023-01-31,$614
2022-10-31,$245
2022-07-31,$511
2022-04-30,"$1,072"
2022-01-31,$2
2021-10-31,"$3,843"
2021-07-31,$831
2021-04-30,$887
2021-01-31,"$1,227"
2020-10-31,$832
2020-07-31,"$1,048"
2020-04-30,$143
2020-01-31,$408
2019-10-31,$499
2019-07-31,"$3,416"
2019-04-30,$293
2019-01-31,$-299
2018-10-31,$-876
2018-07-31,$-499
2018-04-30,$-636
2018-01-31,$-100
2017-10-31,$-846
2017-07-31,$-732
2017-04-30,"$-1,171"
2017-01-31,$269
2016-10-31,"$-2,064"
2016-07-31,$573
2016-04-30,$55
2016-01-31,$-155
2015-10-31,$-180
2015-07-31,$-265
2015-04-30,$-504
2015-01-31,
2014-01-31,
