Wyndham Hotels & Resorts Quarterly Net Income (Millions of US $),Wyndham Hotels & Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$86
2024-03-31,$16
2023-12-31,$49
2023-09-30,$103
2023-06-30,$70
2023-03-31,$67
2022-12-31,$56
2022-09-30,$101
2022-06-30,$92
2022-03-31,$106
2021-12-31,$49
2021-09-30,$103
2021-06-30,$68
2021-03-31,$24
2020-12-31,$-7
2020-09-30,$27
2020-06-30,$-174
2020-03-31,$22
2019-12-31,$65
2019-09-30,$45
2019-06-30,$26
2019-03-31,$21
2018-12-31,$44
2018-09-30,$58
2018-06-30,$21
2018-03-31,$39
2017-12-31,$91
2017-09-30,$58
2017-06-30,$48
2017-03-31,$33
2016-12-31,
2015-12-31,
