Parsons Quarterly Net Income (Millions of US $),Parsons Quarterly Net Income (Millions of US $).1
2024-06-30,$69
2024-03-31,$-107
2023-12-31,$45
2023-09-30,$47
2023-06-30,$43
2023-03-31,$26
2022-12-31,$28
2022-09-30,$30
2022-06-30,$18
2022-03-31,$21
2021-12-31,$29
2021-09-30,$19
2021-06-30,$7
2021-03-31,$9
2020-12-31,$22
2020-09-30,$41
2020-06-30,$23
2020-03-31,$13
2019-12-31,$14
2019-09-30,$57
2019-06-30,$40
2019-03-31,$10
2018-12-31,$7
2018-09-30,$41
2018-06-30,$148
2018-03-31,$25
2017-12-31,
2016-12-31,
