Telecom Argentina Stet - France Telecom S.A Quarterly Net Income (Millions of US $),Telecom Argentina Stet - France Telecom S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$807
2023-12-31,"$-1,239"
2023-09-30,$100
2023-06-30,$15
2023-03-31,$144
2022-12-31,$-350
2022-09-30,"$-1,502"
2022-06-30,$31
2022-03-31,$221
2021-12-31,$90
2021-09-30,$26
2021-06-30,$-124
2021-03-31,$99
2020-12-31,$-60
2020-09-30,$-48
2020-06-30,$-14
2020-03-31,$42
2019-12-31,$171
2019-09-30,$-413
2019-06-30,$120
2019-03-31,$32
2018-12-31,$812
2018-09-30,$-438
2018-06-30,$-363
2018-03-31,$176
2017-12-31,$113
2017-09-30,$118
2017-06-30,$106
2017-03-31,$125
2016-12-31,$98
2016-09-30,$50
2016-06-30,$56
2016-03-31,$64
2015-12-31,$71
2015-09-30,$87
2015-06-30,$104
2015-03-31,$115
2014-12-31,$127
2014-09-30,$98
2014-06-30,$112
2014-03-31,$111
2013-12-31,$111
2013-09-30,$147
2013-06-30,$119
2013-03-31,$155
2012-12-31,$157
2012-09-30,$134
2012-06-30,$126
2012-03-31,$158
2011-12-31,$128
2011-09-30,$129
2011-06-30,$142
2011-03-31,$154
2010-12-31,$129
2010-09-30,$112
2010-06-30,$115
2010-03-31,$107
2009-12-31,$103
2009-09-30,$80
2009-06-30,$92
2009-03-31,$89
