FS KKR Capital Quarterly Net Income (Millions of US $),FS KKR Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$105
2024-03-31,$173
2023-12-31,$90
2023-09-30,$265
2023-06-30,$142
2023-03-31,$199
2022-12-31,$67
2022-09-30,$-127
2022-06-30,$-73
2022-03-31,$225
2021-12-31,$181
2021-09-30,$270
2021-06-30,$865
2021-03-31,$199
2020-12-31,$143
2020-09-30,$210
2020-06-30,$-55
2020-03-31,$-703
2019-12-31,$-27
2019-09-30,$71
2019-06-30,$101
2019-03-31,$101
2018-12-31,$599
2018-09-30,$-12
2018-06-30,$-31
2018-03-31,$13
2017-12-31,$15
2017-09-30,$85
2017-06-30,$18
2017-03-31,$63
2016-12-31,$52
2016-09-30,$114
2016-06-30,$140
2016-03-31,$-12
2015-12-31,$-78
2015-09-30,$-5
2015-06-30,$52
2015-03-31,$70
2014-12-31,$-10
2014-09-30,$56
2014-06-30,$69
2014-03-31,$80
2013-12-31,$77
2013-09-30,$60
2013-06-30,$47
2013-03-31,$82
2012-12-31,$81
2012-09-30,$122
2012-06-30,$45
2012-03-31,$82
2011-12-31,
2010-12-31,
2009-12-31,
