Penske Automotive Quarterly Net Income (Millions of US $),Penske Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,$241
2024-03-31,$215
2023-12-31,$191
2023-09-30,$263
2023-06-30,$301
2023-03-31,$298
2022-12-31,$298
2022-09-30,$340
2022-06-30,$374
2022-03-31,$368
2021-12-31,$311
2021-09-30,$355
2021-06-30,$339
2021-03-31,$183
2020-12-31,$200
2020-09-30,$247
2020-06-30,$45
2020-03-31,$52
2019-12-31,$102
2019-09-30,$116
2019-06-30,$118
2019-03-31,$100
2018-12-31,$98
2018-09-30,$130
2018-06-30,$135
2018-03-31,$108
2017-12-31,$330
2017-09-30,$94
2017-06-30,$106
2017-03-31,$83
2016-12-31,$83
2016-09-30,$88
2016-06-30,$94
2016-03-31,$79
2015-12-31,$70
2015-09-30,$87
2015-06-30,$94
2015-03-31,$75
2014-12-31,$72
2014-09-30,$75
2014-06-30,$73
2014-03-31,$68
2013-12-31,$59
2013-09-30,$65
2013-06-30,$62
2013-03-31,$58
2012-12-31,$49
2012-09-30,$41
2012-06-30,$49
2012-03-31,$47
2011-12-31,$48
2011-09-30,$56
2011-06-30,$40
2011-03-31,$34
2010-12-31,$29
2010-09-30,$30
2010-06-30,$29
2010-03-31,$20
2009-12-31,$19
2009-09-30,$27
2009-06-30,$14
2009-03-31,$16
