Hilton Grand Vacations Quarterly Net Income (Millions of US $),Hilton Grand Vacations Quarterly Net Income (Millions of US $).1
2024-06-30,$2
2024-03-31,$-4
2023-12-31,$68
2023-09-30,$92
2023-06-30,$80
2023-03-31,$73
2022-12-31,$78
2022-09-30,$150
2022-06-30,$73
2022-03-31,$51
2021-12-31,$75
2021-09-30,$99
2021-06-30,$9
2021-03-31,$-7
2020-12-31,$-154
2020-09-30,$-7
2020-06-30,$-48
2020-03-31,$8
2019-12-31,$72
2019-09-30,$50
2019-06-30,$39
2019-03-31,$55
2018-12-31,$120
2018-09-30,$41
2018-06-30,$107
2018-03-31,$30
2017-12-31,$183
2017-09-30,$43
2017-06-30,$51
2017-03-31,$50
2016-12-31,$38
2016-09-30,$35
2016-06-30,$47
2016-03-31,$48
2015-12-31,
2015-09-30,
2014-12-31,
2013-12-31,
