NVent Electric Quarterly Net Income (Millions of US $),NVent Electric Quarterly Net Income (Millions of US $).1
2024-06-30,$111
2024-03-31,$105
2023-12-31,$255
2023-09-30,$106
2023-06-30,$113
2023-03-31,$94
2022-12-31,$159
2022-09-30,$93
2022-06-30,$80
2022-03-31,$68
2021-12-31,$67
2021-09-30,$74
2021-06-30,$66
2021-03-31,$65
2020-12-31,$47
2020-09-30,$-139
2020-06-30,$26
2020-03-31,$19
2019-12-31,$46
2019-09-30,$60
2019-06-30,$61
2019-03-31,$56
2018-12-31,$67
2018-09-30,$68
2018-06-30,$43
2018-03-31,$52
2017-12-31,$156
2017-09-30,$80
2017-06-30,$71
2017-03-31,$55
2016-12-31,
