Performance Food Group Quarterly Net Income (Millions of US $),Performance Food Group Quarterly Net Income (Millions of US $).1
2024-06-30,$167
2024-03-31,$70
2023-12-31,$78
2023-09-30,$121
2023-06-30,$150
2023-03-31,$80
2022-12-31,$71
2022-09-30,$96
2022-06-30,$76
2022-03-31,$23
2021-12-31,$8
2021-09-30,$5
2021-06-30,$31
2021-03-31,$-8
2020-12-31,$18
2020-09-30,$-1
2020-06-30,$-151
2020-03-31,$-40
2019-12-31,$41
2019-09-30,$36
2019-06-30,$63
2019-03-31,$32
2018-12-31,$43
2018-09-30,$28
2018-06-30,$64
2018-03-31,$34
2017-12-31,$78
2017-09-30,$23
2017-06-30,$40
2017-03-31,$21
2016-12-31,$23
2016-09-30,$12
2016-06-30,$29
2016-03-31,$9
2015-12-31,$18
2015-09-30,$12
2015-06-30,$34
2015-03-31,$3
2014-12-31,$13
2014-09-30,$7
2014-06-30,
2013-06-30,
