Essent Group Quarterly Net Income (Millions of US $),Essent Group Quarterly Net Income (Millions of US $).1
2024-06-30,$204
2024-03-31,$182
2023-12-31,$175
2023-09-30,$178
2023-06-30,$172
2023-03-31,$171
2022-12-31,$147
2022-09-30,$178
2022-06-30,$232
2022-03-31,$274
2021-12-31,$181
2021-09-30,$205
2021-06-30,$160
2021-03-31,$136
2020-12-31,$124
2020-09-30,$125
2020-06-30,$15
2020-03-31,$150
2019-12-31,$147
2019-09-30,$145
2019-06-30,$136
2019-03-31,$128
2018-12-31,$129
2018-09-30,$116
2018-06-30,$112
2018-03-31,$111
2017-12-31,$163
2017-09-30,$78
2017-06-30,$72
2017-03-31,$67
2016-12-31,$63
2016-09-30,$60
2016-06-30,$52
2016-03-31,$48
2015-12-31,$44
2015-09-30,$41
2015-06-30,$37
2015-03-31,$35
2014-12-31,$29
2014-09-30,$25
2014-06-30,$20
2014-03-31,$15
2013-12-31,$12
2013-09-30,$16
2013-06-30,$24
2013-03-31,$7
2012-12-31,
2011-12-31,
2010-12-31,
