Insight Enterprises Quarterly Net Income (Millions of US $),Insight Enterprises Quarterly Net Income (Millions of US $).1
2024-06-30,$87
2024-03-31,$67
2023-12-31,$91
2023-09-30,$60
2023-06-30,$80
2023-03-31,$50
2022-12-31,$77
2022-09-30,$57
2022-06-30,$89
2022-03-31,$57
2021-12-31,$62
2021-09-30,$55
2021-06-30,$59
2021-03-31,$43
2020-12-31,$53
2020-09-30,$39
2020-06-30,$46
2020-03-31,$34
2019-12-31,$43
2019-09-30,$27
2019-06-30,$50
2019-03-31,$39
2018-12-31,$47
2018-09-30,$32
2018-06-30,$51
2018-03-31,$33
2017-12-31,$14
2017-09-30,$22
2017-06-30,$40
2017-03-31,$14
2016-12-31,$21
2016-09-30,$22
2016-06-30,$35
2016-03-31,$7
2015-12-31,$19
2015-09-30,$21
2015-06-30,$25
2015-03-31,$11
2014-12-31,$19
2014-09-30,$17
2014-06-30,$27
2014-03-31,$12
2013-12-31,$20
2013-09-30,$15
2013-06-30,$27
2013-03-31,$9
2012-12-31,$21
2012-09-30,$19
2012-06-30,$35
2012-03-31,$17
2011-12-31,$35
2011-09-30,$17
2011-06-30,$35
2011-03-31,$13
2010-12-31,$25
2010-09-30,$14
2010-06-30,$27
2010-03-31,$9
2009-12-31,$17
2009-09-30,$7
2009-06-30,$16
2009-03-31,$-7
