Cheniere Energy Partners Quarterly Net Income (Millions of US $),Cheniere Energy Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$570
2024-03-31,$682
2023-12-31,$15
2023-09-30,$791
2023-06-30,$622
2023-03-31,"$1,935"
2022-12-31,"$1,596"
2022-09-30,$-514
2022-06-30,$342
2022-03-31,$159
2021-12-31,$327
2021-09-30,$381
2021-06-30,$395
2021-03-31,$347
2020-12-31,$151
2020-09-30,$-67
2020-06-30,$406
2020-03-31,$435
2019-12-31,$729
2019-09-30,$110
2019-06-30,$232
2019-03-31,$385
2018-12-31,$667
2018-09-30,$307
2018-06-30,$281
2018-03-31,$335
2017-12-31,$-350
2017-09-30,$23
2017-06-30,$46
2017-03-31,$47
2016-12-31,$246
2016-09-30,$-82
2016-06-30,$-100
2016-03-31,$-75
2015-12-31,$94
2015-09-30,$-24
2015-06-30,$-60
2015-03-31,$-35
2014-12-31,$222
2014-09-30,$-43
2014-06-30,$-226
2014-03-31,$-3
2013-12-31,$-1
2013-09-30,$-12
2013-06-30,$6
2013-03-31,$5
2012-12-31,$-5
2012-09-30,$1
2012-06-30,$5
2012-03-31,$7
2011-12-31,$9
2011-09-30,$8
2011-06-30,$8
2011-03-31,$9
2010-12-31,$-33
2010-09-30,$8
2010-06-30,$11
2010-03-31,$59
2009-12-31,$-95
2009-09-30,$70
2009-06-30,$42
2009-03-31,$14
