Lazard Quarterly Net Income (Millions of US $),Lazard Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$34
2023-12-31,$61
2023-09-30,$7
2023-06-30,$-125
2023-03-31,$-23
2022-12-31,$37
2022-09-30,$106
2022-06-30,$95
2022-03-31,$114
2021-12-31,$204
2021-09-30,$105
2021-06-30,$123
2021-03-31,$87
2020-12-31,$182
2020-09-30,$75
2020-06-30,$73
2020-03-31,$64
2019-12-31,$74
2019-09-30,$47
2019-06-30,$66
2019-03-31,$97
2018-12-31,$113
2018-09-30,$107
2018-06-30,$147
2018-03-31,$160
2017-12-31,$-84
2017-09-30,$109
2017-06-30,$120
2017-03-31,$108
2016-12-31,$128
2016-09-30,$113
2016-06-30,$80
2016-03-31,$67
2015-12-31,$158
2015-09-30,$399
2015-06-30,$374
2015-03-31,$56
2014-12-31,$172
2014-09-30,$89
2014-06-30,$85
2014-03-31,$81
2013-12-31,$53
2013-09-30,$60
2013-06-30,$31
2013-03-31,$15
2012-12-31,$-5
2012-09-30,$33
2012-06-30,$31
2012-03-31,$26
2011-12-31,$-5
2011-09-30,$63
2011-06-30,$62
2011-03-31,$55
2010-12-31,$100
2010-09-30,$64
2010-06-30,$45
2010-03-31,$-34
2009-12-31,$-144
2009-09-30,$37
2009-06-30,$28
2009-03-31,$-53
