SL Green Realty Quarterly Net Income (Millions of US $),SL Green Realty Quarterly Net Income (Millions of US $).1
2024-09-30,$-13
2024-06-30,$-3
2024-03-31,$13
2023-12-31,$-154
2023-09-30,$-24
2023-06-30,$-361
2023-03-31,$-40
2022-12-31,$-63
2022-09-30,$7
2022-06-30,$-44
2022-03-31,$7
2021-12-31,$-49
2021-09-30,$386
2021-06-30,$105
2021-03-31,$-7
2020-12-31,$170
2020-09-30,$14
2020-06-30,$56
2020-03-31,$114
2019-12-31,$16
2019-09-30,$33
2019-06-30,$161
2019-03-31,$44
2018-12-31,$-62
2018-09-30,$88
2018-06-30,$104
2018-03-31,$102
2017-12-31,$28
2017-09-30,$39
2017-06-30,$8
2017-03-31,$11
2016-12-31,$44
2016-09-30,$34
2016-06-30,$133
2016-03-31,$23
2015-12-31,$101
2015-09-30,$164
2015-06-30,$-39
2015-03-31,$43
2014-12-31,$57
2014-09-30,$65
2014-06-30,$236
2014-03-31,$146
2013-12-31,$37
2013-09-30,$37
2013-06-30,$8
2013-03-31,$19
2012-12-31,$20
2012-09-30,$8
2012-06-30,$103
2012-03-31,$25
2011-12-31,$3
2011-09-30,$7
2011-06-30,$526
2011-03-31,$81
2010-12-31,$7
2010-09-30,$112
2010-06-30,$137
2010-03-31,$15
2009-12-31,$-5
2009-09-30,$-3
2009-06-30,$13
2009-03-31,$33
