Academy Sports And Outdoors Quarterly Net Income (Millions of US $),Academy Sports And Outdoors Quarterly Net Income (Millions of US $).1
2024-07-31,$143
2024-04-30,$76
2024-01-31,$168
2023-10-31,$100
2023-07-31,$157
2023-04-30,$94
2023-01-31,$158
2022-10-31,$132
2022-07-31,$189
2022-04-30,$150
2022-01-31,$142
2021-10-31,$161
2021-07-31,$191
2021-04-30,$178
2021-01-31,$92
2020-10-31,$60
2020-07-31,$168
2020-04-30,$-10
2020-01-31,
2019-10-31,$29
2019-01-31,
