Stericycle Quarterly Net Income (Millions of US $),Stericycle Quarterly Net Income (Millions of US $).1
2024-06-30,$6
2024-03-31,$13
2023-12-31,$15
2023-09-30,$2
2023-06-30,$-50
2023-03-31,$11
2022-12-31,$32
2022-09-30,$28
2022-06-30,$11
2022-03-31,$-14
2021-12-31,$-17
2021-09-30,$-66
2021-06-30,$29
2021-03-31,$26
2020-12-31,$49
2020-09-30,$-81
2020-06-30,$-5
2020-03-31,$-20
2019-12-31,$-219
2019-09-30,$-59
2019-06-30,$-31
2019-03-31,$-38
2018-12-31,$-318
2018-09-30,$18
2018-06-30,$27
2018-03-31,$21
2017-12-31,$83
2017-09-30,$36
2017-06-30,$-149
2017-03-31,$53
2016-12-31,$13
2016-09-30,$62
2016-06-30,$37
2016-03-31,$67
2015-12-31,$71
2015-09-30,$69
2015-06-30,$88
2015-03-31,$29
2014-12-31,$83
2014-09-30,$83
2014-06-30,$82
2014-03-31,$79
2013-12-31,$78
2013-09-30,$81
2013-06-30,$78
2013-03-31,$75
2012-12-31,$70
2012-09-30,$65
2012-06-30,$68
2012-03-31,$65
2011-12-31,$64
2011-09-30,$59
2011-06-30,$56
2011-03-31,$56
2010-12-31,$50
2010-09-30,$57
2010-06-30,$53
2010-03-31,$48
2009-12-31,$45
2009-09-30,$47
2009-06-30,$44
2009-03-31,$41
