B2Gold Corp Quarterly Net Income (Millions of US $),B2Gold Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$-24
2024-03-31,$40
2023-12-31,$-113
2023-09-30,$-43
2023-06-30,$80
2023-03-31,$86
2022-12-31,$158
2022-09-30,$-23
2022-06-30,$38
2022-03-31,$81
2021-12-31,$137
2021-09-30,$123
2021-06-30,$68
2021-03-31,$92
2020-12-31,$168
2020-09-30,$263
2020-06-30,$124
2020-03-31,$72
2019-12-31,$177
2019-09-30,$56
2019-06-30,$38
2019-03-31,$22
2018-12-31,$-59
2018-09-30,$11
2018-06-30,$21
2018-03-31,$56
2017-12-31,$30
2017-09-30,$11
2017-06-30,$21
2017-03-31,$-5
2016-12-31,$6
2016-09-30,$35
2016-06-30,$-10
2016-03-31,$8
2015-12-31,$-120
2015-09-30,$-15
2015-06-30,$-21
2015-03-31,$6
2014-12-31,$-356
2014-09-30,$-274
2014-06-30,$-12
2014-03-31,$-24
2013-12-31,$26
2013-09-30,$8
2013-06-30,$33
2013-03-31,$0
2012-12-31,$11
2012-09-30,$14
2012-06-30,$12
2012-03-31,$15
2011-12-31,
