Barrick Gold Quarterly Net Income (Millions of US $),Barrick Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$370
2024-03-31,$295
2023-12-31,$479
2023-09-30,$368
2023-06-30,$305
2023-03-31,$120
2022-12-31,$-735
2022-09-30,$241
2022-06-30,$488
2022-03-31,$438
2021-12-31,$726
2021-09-30,$347
2021-06-30,$411
2021-03-31,$538
2020-12-31,$685
2020-09-30,$882
2020-06-30,$357
2020-03-31,$400
2019-12-31,"$1,387"
2019-09-30,"$2,277"
2019-06-30,$194
2019-03-31,$111
2018-12-31,"$-1,197"
2018-09-30,$-412
2018-06-30,$-94
2018-03-31,$158
2017-12-31,$-314
2017-09-30,$-11
2017-06-30,"$1,084"
2017-03-31,$679
2016-12-31,$425
2016-09-30,$175
2016-06-30,$138
2016-03-31,$-83
2015-12-31,"$-2,622"
2015-09-30,$-264
2015-06-30,$-9
2015-03-31,$57
2014-12-31,"$-2,851"
2014-09-30,$125
2014-06-30,$-269
2014-03-31,$88
2013-12-31,"$-2,830"
2013-09-30,$172
2013-06-30,"$-8,555"
2013-03-31,$847
2012-12-31,"$-3,013"
2012-09-30,$649
2012-06-30,$787
2012-03-31,"$1,039"
2011-12-31,$959
2011-09-30,"$1,365"
2011-06-30,"$1,159"
2011-03-31,"$1,001"
2010-12-31,$961
2010-09-30,$942
2010-06-30,$859
2010-03-31,$820
2009-12-31,$213
2009-09-30,"$-5,350"
2009-06-30,$492
2009-03-31,$371
