Polaris Quarterly Net Income (Millions of US $),Polaris Quarterly Net Income (Millions of US $).1
2024-06-30,$69
2024-03-31,$4
2023-12-31,$103
2023-09-30,$152
2023-06-30,$134
2023-03-31,$113
2022-12-31,$196
2022-09-30,$186
2022-06-30,$-5
2022-03-31,$70
2021-12-31,$87
2021-09-30,$115
2021-06-30,$158
2021-03-31,$134
2020-12-31,$199
2020-09-30,$167
2020-06-30,$-235
2020-03-31,$-5
2019-12-31,$99
2019-09-30,$88
2019-06-30,$88
2019-03-31,$48
2018-12-31,$92
2018-09-30,$96
2018-06-30,$93
2018-03-31,$56
2017-12-31,$31
2017-09-30,$82
2017-06-30,$62
2017-03-31,$-3
2016-12-31,$63
2016-09-30,$32
2016-06-30,$71
2016-03-31,$47
2015-12-31,$111
2015-09-30,$155
2015-06-30,$101
2015-03-31,$89
2014-12-31,$135
2014-09-30,$141
2014-06-30,$97
2014-03-31,$81
2013-12-31,$109
2013-09-30,$113
2013-06-30,$80
2013-03-31,$75
2012-12-31,$88
2012-09-30,$94
2012-06-30,$70
2012-03-31,$60
2011-12-31,$64
2011-09-30,$68
2011-06-30,$49
2011-03-31,$47
2010-12-31,$55
2010-09-30,$47
2010-06-30,$26
2010-03-31,$20
2009-12-31,$44
2009-09-30,$31
2009-06-30,$17
2009-03-31,$8
