Lantheus Holdings Quarterly Net Income (Millions of US $),Lantheus Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$62
2024-03-31,$131
2023-12-31,$103
2023-09-30,$132
2023-06-30,$94
2023-03-31,$-3
2022-12-31,$-119
2022-09-30,$61
2022-06-30,$43
2022-03-31,$43
2021-12-31,$-40
2021-09-30,$-13
2021-06-30,$-27
2021-03-31,$9
2020-12-31,$-3
2020-09-30,$-6
2020-06-30,$-7
2020-03-31,$3
2019-12-31,$10
2019-09-30,$5
2019-06-30,$6
2019-03-31,$10
2018-12-31,$13
2018-09-30,$9
2018-06-30,$10
2018-03-31,$8
2017-12-31,$97
2017-09-30,$9
2017-06-30,$14
2017-03-31,$4
2016-12-31,$5
2016-09-30,$4
2016-06-30,$7
2016-03-31,$10
2015-12-31,$4
2015-09-30,$5
2015-06-30,$-24
2015-03-31,$0
2014-12-31,
2014-09-30,$-1
2014-06-30,$-2
2013-12-31,
2012-12-31,
