Portland General Electric Quarterly Net Income (Millions of US $),Portland General Electric Quarterly Net Income (Millions of US $).1
2024-06-30,$72
2024-03-31,$109
2023-12-31,$68
2023-09-30,$47
2023-06-30,$39
2023-03-31,$74
2022-12-31,$51
2022-09-30,$58
2022-06-30,$64
2022-03-31,$60
2021-12-31,$66
2021-09-30,$50
2021-06-30,$32
2021-03-31,$96
2020-12-31,$52
2020-09-30,$-17
2020-06-30,$39
2020-03-31,$81
2019-12-31,$60
2019-09-30,$55
2019-06-30,$26
2019-03-31,$73
2018-12-31,$49
2018-09-30,$53
2018-06-30,$46
2018-03-31,$64
2017-12-31,$42
2017-09-30,$40
2017-06-30,$32
2017-03-31,$73
2016-12-31,$61
2016-09-30,$34
2016-06-30,$37
2016-03-31,$61
2015-12-31,$51
2015-09-30,$36
2015-06-30,$35
2015-03-31,$50
2014-12-31,$43
2014-09-30,$39
2014-06-30,$35
2014-03-31,$58
2013-12-31,$47
2013-09-30,$31
2013-06-30,$-22
2013-03-31,$49
2012-12-31,$28
2012-09-30,$38
2012-06-30,$26
2012-03-31,$49
2011-12-31,$29
2011-09-30,$27
2011-06-30,$22
2011-03-31,$69
2010-12-31,$25
2010-09-30,$49
2010-06-30,$24
2010-03-31,$27
2009-12-31,$8
2009-09-30,$32
2009-06-30,$24
2009-03-31,$31
