Clean Harbors Quarterly Net Income (Millions of US $),Clean Harbors Quarterly Net Income (Millions of US $).1
2024-06-30,$133
2024-03-31,$70
2023-12-31,$98
2023-09-30,$91
2023-06-30,$116
2023-03-31,$72
2022-12-31,$82
2022-09-30,$136
2022-06-30,$148
2022-03-31,$45
2021-12-31,$49
2021-09-30,$65
2021-06-30,$67
2021-03-31,$22
2020-12-31,$39
2020-09-30,$55
2020-06-30,$29
2020-03-31,$12
2019-12-31,$24
2019-09-30,$36
2019-06-30,$36
2019-03-31,$1
2018-12-31,$16
2018-09-30,$31
2018-06-30,$31
2018-03-31,$-13
2017-12-31,$84
2017-09-30,$12
2017-06-30,$26
2017-03-31,$-21
2016-12-31,$-13
2016-09-30,$-10
2016-06-30,$4
2016-03-31,$-21
2015-12-31,$1
2015-09-30,$40
2015-06-30,$10
2015-03-31,$-7
2014-12-31,$27
2014-09-30,$-93
2014-06-30,$29
2014-03-31,$9
2013-12-31,$27
2013-09-30,$35
2013-06-30,$23
2013-03-31,$11
2012-12-31,$62
2012-09-30,$12
2012-06-30,$23
2012-03-31,$32
2011-12-31,$38
2011-09-30,$37
2011-06-30,$29
2011-03-31,$23
2010-12-31,$23
2010-09-30,$39
2010-06-30,$58
2010-03-31,$10
2009-12-31,$14
2009-09-30,$9
2009-06-30,$9
2009-03-31,$5
