Euronet Worldwide Quarterly Net Income (Millions of US $),Euronet Worldwide Quarterly Net Income (Millions of US $).1
2024-06-30,$83
2024-03-31,$26
2023-12-31,$69
2023-09-30,$104
2023-06-30,$86
2023-03-31,$20
2022-12-31,$68
2022-09-30,$98
2022-06-30,$57
2022-03-31,$8
2021-12-31,$-3
2021-09-30,$74
2021-06-30,$9
2021-03-31,$-9
2020-12-31,$70
2020-09-30,$40
2020-06-30,$-116
2020-03-31,$2
2019-12-31,$106
2019-09-30,$138
2019-06-30,$68
2019-03-31,$35
2018-12-31,$60
2018-09-30,$103
2018-06-30,$44
2018-03-31,$26
2017-12-31,$-23
2017-09-30,$100
2017-06-30,$51
2017-03-31,$28
2016-12-31,$29
2016-09-30,$61
2016-06-30,$56
2016-03-31,$29
2015-12-31,$33
2015-09-30,$31
2015-06-30,$27
2015-03-31,$7
2014-12-31,$30
2014-09-30,$35
2014-06-30,$21
2014-03-31,$16
2013-12-31,$10
2013-09-30,$48
2013-06-30,$18
2013-03-31,$12
2012-12-31,$-13
2012-09-30,$15
2012-06-30,$6
2012-03-31,$13
2011-12-31,$11
2011-09-30,$-3
2011-06-30,$12
2011-03-31,$17
2010-12-31,$-61
2010-09-30,$21
2010-06-30,$-1
2010-03-31,$3
2009-12-31,$8
2009-09-30,$19
2009-06-30,$16
2009-03-31,$-12
