Liberty Broadband Quarterly Net Income (Millions of US $),Liberty Broadband Quarterly Net Income (Millions of US $).1
2024-06-30,$195
2024-03-31,$241
2023-12-31,$205
2023-09-30,$162
2023-06-30,$252
2023-03-31,$69
2022-12-31,$178
2022-09-30,$315
2022-06-30,$465
2022-03-31,$299
2021-12-31,$387
2021-09-30,$237
2021-06-30,$56
2021-03-31,$52
2020-12-31,$265
2020-09-30,$69
2020-06-30,$72
2020-03-31,$-8
2019-12-31,$92
2019-09-30,$27
2019-06-30,$12
2019-03-31,$-14
2018-12-31,$15
2018-09-30,$60
2018-06-30,$11
2018-03-31,$-15
2017-12-31,"$2,061"
2017-09-30,$-10
2017-06-30,$-3
2017-03-31,$-14
2016-12-31,$46
2016-09-30,$4
2016-06-30,$890
2016-03-31,$-22
2015-12-31,$-28
2015-09-30,$-19
2015-06-30,$-8
2015-03-31,$5
2014-12-31,$-47
2014-09-30,$-32
2014-06-30,$2
2014-03-31,$-58
2013-12-31,
2013-09-30,$-52
2012-12-31,
2011-12-31,
