"EnLink Midstream, LLC Quarterly Net Income (Millions of US $)","EnLink Midstream, LLC Quarterly Net Income (Millions of US $).1"
2024-06-30,$38
2024-03-31,$15
2023-12-31,$64
2023-09-30,$30
2023-06-30,$54
2023-03-31,$58
2022-12-31,$160
2022-09-30,$81
2022-06-30,$85
2022-03-31,$35
2021-12-31,$55
2021-09-30,$2
2021-06-30,$-22
2021-03-31,$-13
2020-12-31,$-151
2020-09-30,$13
2020-06-30,$4
2020-03-31,$-287
2019-12-31,$-939
2019-09-30,$12
2019-06-30,$-16
2019-03-31,$-176
2018-12-31,$-61
2018-09-30,$8
2018-06-30,$28
2018-03-31,$12
2017-12-31,$203
2017-09-30,$6
2017-06-30,$6
2017-03-31,$-2
2016-12-31,$-4
2016-09-30,$1
2016-06-30,$1
2016-03-31,$-458
2015-12-31,$-193
2015-09-30,$-193
2015-06-30,$15
2015-03-31,$16
2014-12-31,$28
2014-09-30,$27
2014-06-30,$29
2014-03-31,$7
2013-12-31,
2013-09-30,$0
2013-06-30,$0
2013-03-31,
2012-12-31,$83
2012-09-30,$-4
2012-06-30,$-2
2012-03-31,$-1
2011-12-31,$-2
2011-09-30,$-2
2011-06-30,$-1
2011-03-31,$-2
2010-12-31,$-2
2010-09-30,$-2
2010-06-30,$-2
2010-03-31,$-5
2009-12-31,$12
2009-09-30,$15
2009-06-30,$-3
2009-03-31,$-9
