Baidu Quarterly Net Income (Millions of US $),Baidu Quarterly Net Income (Millions of US $).1
2024-06-30,$755
2024-03-31,$755
2023-12-31,$278
2023-09-30,$916
2023-06-30,$718
2023-03-31,$848
2022-12-31,$628
2022-09-30,$-21
2022-06-30,$543
2022-03-31,$-140
2021-12-31,$350
2021-09-30,"$-2,570"
2021-06-30,$-90
2021-03-31,"$3,915"
2020-12-31,$916
2020-09-30,"$2,015"
2020-06-30,$507
2020-03-31,$6
2019-12-31,$886
2019-09-30,$-892
2019-06-30,$351
2019-03-31,$-49
2018-12-31,$130
2018-09-30,"$1,822"
2018-06-30,"$1,004"
2018-03-31,"$1,053"
2017-12-31,$719
2017-09-30,"$1,192"
2017-06-30,$644
2017-03-31,$258
2016-12-31,$537
2016-09-30,$465
2016-06-30,$370
2016-03-31,$304
2015-09-30,$454
2015-06-30,$601
2015-03-31,$399
2012-12-31,$465
2012-09-30,$479
2012-06-30,$436
2012-03-31,$299
2011-12-31,$326
2011-09-30,$295
2011-06-30,$253
2011-03-31,$164
2010-12-31,$176
2010-09-30,$156
2010-06-30,$124
2010-03-31,$70
2009-12-31,$63
2009-09-30,$72
2009-06-30,$56
2009-03-31,$27
