Take-Two Interactive Software PE Ratio Historical Data,Take-Two Interactive Software PE Ratio Historical Data,Take-Two Interactive Software PE Ratio Historical Data,Take-Two Interactive Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,161.71,,0.0
2024-06-30,155.49,$-22.28,0.0
2024-03-31,148.49,$-21.98,0.0
2023-12-31,160.95,$-8.58,0.0
2023-09-30,140.39,$-8.95,0.0
2023-06-30,147.16,$-7.29,0.0
2023-03-31,119.3,$-6.83,0.0
2022-12-31,104.13,$-2.26,0.0
2022-09-30,109.0,$-0.11,0.0
2022-06-30,122.53,$1.52,80.61
2022-03-31,153.74,$3.58,42.94
2021-12-31,177.72,$4.51,39.41
2021-09-30,154.07,$4.84,31.83
2021-06-30,177.02,$5.61,31.55
2021-03-31,176.7,$5.08,34.78
2020-12-31,207.79,$4.27,48.66
2020-09-30,165.22,$4.13,40.0
2020-06-30,139.57,$3.90,35.79
2020-03-31,118.61,$3.54,33.51
2019-12-31,122.43,$2.97,41.22
2019-09-30,125.34,$3.11,40.3
2019-06-30,113.53,$2.70,42.05
2019-03-31,94.37,$2.91,32.43
2018-12-31,102.94,$3.18,32.37
2018-09-30,137.99,$1.82,75.82
2018-06-30,118.36,$1.57,75.39
2018-03-31,97.78,$1.46,66.97
2017-12-31,109.78,$1.58,69.48
2017-09-30,102.23,$1.04,98.3
2017-06-30,73.38,$1.46,50.26
2017-03-31,59.27,$0.49,120.96
2016-12-31,49.29,$0.08,616.13
2016-09-30,45.08,$-0.10,0.0
2016-06-30,37.92,$0.06,632.0
2016-03-31,37.67,$-0.29,0.0
2015-12-31,34.84,$-3.76,0.0
2015-09-30,28.73,$-2.83,0.0
2015-06-30,27.57,$-3.89,0.0
2015-03-31,25.46,$-3.48,0.0
2014-12-31,28.03,$4.20,6.67
2014-09-30,23.07,$2.38,9.69
2014-03-31,21.93,$2.18,10.06
2013-12-31,17.37,$2.82,6.16
2013-09-30,18.17,$-2.32,0.0
2013-06-30,14.97,$-0.26,0.0
2013-03-31,16.15,$0.30,53.83
2014-06-30,22.24,$-1.24,0.0
2012-12-31,11.01,$-1.58,0.0
2012-09-30,10.44,$-2.08,0.0
2012-06-30,9.46,$-2.50,0.0
2012-03-31,15.39,$-1.31,0.0
2011-12-31,13.55,$-0.79,0.0
2011-09-30,12.72,$-0.50,0.0
2011-06-30,15.28,$0.65,23.51
2011-03-31,15.37,$0.76,20.22
2010-12-31,12.27,$1.10,11.15
2010-09-30,10.14,$0.65,15.6
2010-07-31,10.25,$0.27,37.96
2010-06-30,9.0,$0.27,33.33
2010-04-30,10.85,$-0.23,0.0
2010-03-31,9.87,$-0.23,0.0
2010-01-31,9.28,$-0.43,0.0
2009-12-31,10.05,$-0.43,0.0
2009-10-31,10.97,0,0.0
