GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data,GE HealthCare Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,84.82,,24.66
2024-06-30,77.92,$3.44,22.65
2024-03-31,90.91,$3.42,26.58
2023-12-31,77.32,$3.02,25.6
