Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data,Host Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,17.7,,18.06
2024-06-30,17.98,$0.98,18.35
2023-12-31,19.07,$1.04,18.34
2023-09-30,15.39,$1.05,14.66
2023-06-30,15.94,$1.27,12.55
2023-03-31,15.48,$1.14,13.58
2022-12-31,14.95,$1.10,13.59
2024-03-31,20.45,$1.06,19.29
2022-09-30,14.5,$1.13,12.83
2022-06-30,14.21,$0.80,17.76
2022-03-31,17.54,$0.35,50.12
2021-12-31,15.68,$-0.03,0.0
2021-09-30,14.72,$-0.57,0.0
2021-06-30,15.41,$-0.84,0.0
2021-03-31,15.19,$-1.25,0.0
2020-12-31,13.19,$-1.03,0.0
2020-09-30,9.73,$-0.83,0.0
2020-06-30,9.73,$0.12,81.06
2020-03-31,9.95,$1.01,9.85
2019-12-31,16.44,$1.26,13.04
2019-09-30,15.12,$1.56,9.69
2019-06-30,15.74,$1.48,10.64
2019-03-31,16.15,$1.37,11.79
2018-12-31,14.1,$1.46,9.66
2018-09-30,17.58,$1.17,15.03
2018-06-30,17.39,$0.88,19.76
2018-03-31,15.24,$0.88,17.32
2017-12-31,16.06,$0.71,22.62
2017-09-30,14.77,$0.73,20.24
2017-06-30,14.44,$1.06,13.62
2016-12-31,14.57,$1.02,14.29
2016-09-30,11.88,$1.07,11.11
2016-06-30,12.22,$1.04,11.75
2016-03-31,12.42,$0.85,14.61
2015-12-31,11.27,$0.74,15.23
2015-09-30,11.47,$0.85,13.5
2015-06-30,14.21,$0.93,15.28
2015-03-31,14.32,$0.86,16.65
2014-12-31,16.7,$0.97,17.22
2014-09-30,14.83,$0.80,18.53
2014-06-30,15.16,$0.64,23.68
2014-03-31,13.84,$0.59,23.46
2013-12-31,13.2,$0.43,30.7
2013-09-30,11.92,$0.29,41.11
2013-06-30,11.31,$0.21,53.84
2013-03-31,11.64,$0.16,72.77
2012-12-31,10.37,$0.08,129.64
2012-09-30,10.56,$0.08,132.02
2012-06-30,10.36,$0.08,129.48
2012-03-31,10.7,$0.06,178.37
2011-12-31,9.59,$-0.03,0.0
2011-09-30,7.08,$-0.06,0.0
2011-06-30,10.93,$-0.10,0.0
2011-03-31,11.33,$-0.17,0.0
2010-12-31,11.49,$-0.21,0.0
2010-09-30,9.3,$-0.32,0.0
2010-06-30,8.66,$-0.32,0.0
2010-03-31,9.4,$-0.46,0.0
2009-12-31,7.48,$-0.45,0.0
2009-09-30,7.36,$-0.12,0.0
