Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data,Booking Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,3909.23,,27.37
2024-06-30,3961.5,$142.83,27.74
2024-03-31,3619.57,$133.34,27.15
2023-12-31,3530.22,$117.97,29.92
2023-09-30,3069.17,$143.61,21.37
2023-06-30,2687.39,$115.79,23.21
2023-03-31,2639.7,$101.97,25.89
2022-12-31,2005.62,$77.87,25.76
2022-09-30,1635.33,$60.89,26.86
2022-06-30,1740.61,$37.51,46.4
2022-03-31,2337.19,$12.36,189.09
2021-12-31,2387.73,$28.12,84.91
2021-09-30,2362.49,$9.16,257.91
2021-06-30,2177.6,$10.05,216.68
2021-03-31,2318.67,$17.10,135.59
2020-12-31,2216.59,$1.43,1550.07
2020-09-30,1702.48,$33.20,51.28
2020-06-30,1584.71,$59.25,26.75
2020-03-31,1338.87,$78.72,17.01
2019-12-31,2043.89,$112.58,18.15
2019-09-30,1953.2,$98.69,19.79
2019-06-30,1865.72,$90.17,20.69
2019-03-31,1736.55,$87.86,19.76
2018-12-31,1714.16,$83.35,20.57
2018-09-30,1974.49,$58.08,34.0
2018-06-30,2017.37,$55.49,36.36
2018-03-31,2070.42,$49.75,41.62
2017-12-31,1729.41,$46.52,37.18
2017-09-30,1822.04,$71.40,25.52
2017-06-30,1861.55,$47.10,39.52
2017-03-31,1771.44,$44.31,39.98
2016-12-31,1459.03,$42.67,34.19
2016-09-30,1464.44,$39.20,37.36
2016-06-30,1242.43,$52.48,23.67
2016-03-31,1282.78,$50.82,25.24
2015-12-31,1268.84,$49.71,25.52
2015-09-30,1230.93,$48.27,25.5
2015-06-30,1145.85,$44.89,25.53
2015-03-31,1158.57,$45.84,25.27
2014-12-31,1134.74,$45.73,24.81
2014-09-30,1153.03,$44.31,26.02
2014-06-30,1197.23,$40.00,29.93
2014-03-31,1186.18,$37.50,31.63
2013-12-31,1156.83,$36.01,32.13
2013-09-30,1006.1,$34.50,29.16
2013-06-30,822.71,$30.44,27.03
2013-03-31,684.86,$28.93,23.67
2012-12-31,617.42,$27.71,22.28
2012-09-30,616.1,$26.49,23.26
2012-06-30,661.33,$24.00,27.56
2012-03-31,714.06,$22.14,32.25
2011-12-31,465.47,$20.65,22.54
2011-09-30,447.31,$18.90,23.67
2011-06-30,509.48,$14.14,36.03
2011-03-31,504.01,$11.38,44.29
2010-12-31,397.63,$10.39,38.27
2010-09-30,346.67,$9.28,37.36
2010-06-30,175.69,$11.29,15.56
2010-03-31,253.78,$10.41,24.38
2009-12-31,217.36,$9.88,22.0
