Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,190.0,,4.33
2024-06-30,179.47,$43.85,4.09
2024-03-31,193.81,$49.94,3.88
2023-12-31,186.83,$34.36,5.44
2023-09-30,149.85,$59.02,2.54
2023-06-30,138.67,$42.40,3.27
2023-03-31,127.56,$55.17,2.31
2022-12-31,107.01,$74.36,1.44
2022-09-30,93.37,$65.23,1.43
2022-06-30,91.13,$60.44,1.51
2022-03-31,100.2,$28.21,3.55
2021-12-31,113.63,$40.24,2.82
2021-09-30,98.76,$52.28,1.89
2021-06-30,89.2,$48.11,1.85
2021-03-31,90.06,$58.82,1.53
2020-12-31,65.81,$-8.38,0.0
2020-09-30,55.84,$-9.71,0.0
2020-06-30,55.48,$-20.76,0.0
2020-03-31,47.64,$-33.98,0.0
2019-12-31,70.5,$-1.83,0.0
2019-09-30,68.36,$-17.67,0.0
2019-06-30,60.34,$-5.83,0.0
2019-03-31,59.56,$9.37,6.35
2018-12-31,49.26,$18.63,2.64
2018-09-30,58.24,$25.29,2.3
2018-06-30,71.67,$23.08,3.1
2018-03-31,69.25,$18.34,3.78
2017-12-31,61.86,$16.95,3.65
2017-09-30,57.23,$23.59,2.43
2017-06-30,50.62,$25.13,2.01
2017-03-31,44.8,$13.05,3.43
2016-12-31,44.3,$5.14,8.61
2016-09-30,30.42,$1.46,20.77
2016-06-30,26.63,$-4.20,0.0
2015-12-31,23.81,$16.35,1.46
2015-09-30,19.45,$23.63,0.82
2015-06-30,21.67,$23.72,0.91
2015-03-31,20.91,$27.02,0.77
2014-12-31,22.39,$166.73,0.13
2016-03-31,28.65,$165.94,0.17
2014-09-30,23.61,$163.43,0.14
2014-06-30,22.73,$168.28,0.14
2014-03-31,24.21,$23.79,1.02
2013-12-31,24.83,$28.37,0.88
2013-09-30,24.11,$21.53,1.12
2013-06-30,20.79,$19.52,1.06
2013-03-31,22.07,$9.28,2.38
2012-12-31,23.21,$3.21,7.23
2012-09-30,18.32,$9.61,1.91
2012-06-30,18.6,$4.08,4.56
2012-03-31,16.03,$9.23,1.74
2011-12-31,12.67,$2.87,4.41
2011-09-30,13.34,$-20.17,0.0
2011-06-30,15.47,$-29.10,0.0
2011-03-31,13.33,$-42.92,0.0
2010-12-31,11.32,$-50.66,0.0
2010-09-30,7.48,$-27.58,0.0
2010-06-30,9.66,$-17.71,0.0
2010-03-31,7.77,$-0.22,0.0
2009-12-31,4.76,$11.16,0.43
