Borr Drilling Price to Free Cash Flow Ratio Historical Data,Borr Drilling Price to Free Cash Flow Ratio Historical Data,Borr Drilling Price to Free Cash Flow Ratio Historical Data,Borr Drilling Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.21,,0.0
2024-06-30,6.45,$-0.42,0.0
2024-03-31,6.85,$-0.49,0.0
2023-12-31,7.36,$-0.66,0.0
2023-09-30,7.1,$0.00,0.0
2023-06-30,7.53,$-0.05,0.0
2023-03-31,7.58,$-0.12,0.0
2022-12-31,4.97,$-0.11,0.0
2022-09-30,3.32,$-0.53,0.0
2022-06-30,4.61,$-0.62,0.0
2022-03-31,3.35,$-0.57,0.0
2021-12-31,2.06,$-0.56,0.0
2021-09-30,1.68,$-0.67,0.0
2021-06-30,1.63,$-0.71,0.0
2021-03-31,1.93,$-0.61,0.0
2020-12-31,1.63,$-0.79,0.0
2020-09-30,1.1,$-0.95,0.0
2020-06-30,2.24,$-6.90,0.0
