Companhia Paranaense De Energia (COPEL) Price to Free Cash Flow Ratio Historical Data,Companhia Paranaense De Energia (COPEL) Price to Free Cash Flow Ratio Historical Data,Companhia Paranaense De Energia (COPEL) Price to Free Cash Flow Ratio Historical Data,Companhia Paranaense De Energia (COPEL) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.0,,inf
2024-06-30,6.69,0,0.0
2024-03-31,7.72,0,0.0
2023-12-31,8.48,0,0.0
2023-09-30,8.77,$1.19,7.36
2023-06-30,8.61,$1.19,7.22
2023-03-31,6.72,$1.12,5.99
2022-12-31,7.19,$1.19,6.03
2022-09-30,5.93,$0.93,6.37
2022-06-30,6.36,$0.97,6.58
2022-03-31,7.22,$0.79,9.18
2021-12-31,5.2,$1.03,5.03
2021-09-30,5.6,$0.40,13.88
2021-06-30,4.95,$0.82,6.05
2021-03-31,5.34,$1.36,3.94
2020-12-31,6.06,$1.32,4.61
2020-09-30,4.67,$1.34,3.49
2020-06-30,4.82,$1.16,4.17
2020-03-31,4.42,$1.06,4.18
2019-12-31,7.18,$1.11,6.46
2019-09-30,5.02,$0.74,6.8
2019-06-30,5.31,$0.41,12.89
2019-03-31,3.85,$0.40,9.66
2018-12-31,3.25,$0.14,23.03
2018-09-30,2.11,$-0.18,0.0
2018-06-30,2.23,$-0.14,0.0
2018-03-31,3.13,$-0.18,0.0
2017-12-31,2.94,$-0.12,0.0
2017-09-30,3.41,$0.14,25.12
2017-06-30,2.83,$0.12,23.89
2017-03-31,3.72,$0.24,15.2
2016-12-31,3.06,$0.10,30.35
2016-09-30,3.74,$0.44,8.52
2016-06-30,3.24,$0.53,6.16
2016-03-31,2.74,$0.34,7.98
2015-12-31,2.03,$0.31,6.49
2015-09-30,2.84,$-0.07,0.0
2015-06-30,3.8,$-0.33,0.0
2015-03-31,3.53,$0.22,15.96
2014-12-31,4.44,$0.08,56.9
2014-09-30,4.41,$0.23,19.03
2014-06-30,4.94,$0.45,11.01
2014-03-31,4.11,$0.61,6.7
2013-12-31,4.12,$0.78,5.28
2013-09-30,4.3,$0.96,4.5
2013-06-30,3.83,$1.24,3.1
2013-03-31,4.7,$0.60,7.77
2012-12-31,4.6,$0.46,10.09
2012-09-30,4.92,$0.35,14.06
2012-06-30,6.49,$0.34,18.88
2012-03-31,6.95,$0.20,35.32
2011-12-31,6.2,$0.44,13.98
2011-09-30,5.38,$1.94,2.77
2011-06-30,7.88,$1.89,4.18
2011-03-31,8.0,$1.69,4.73
2010-12-31,7.24,$1.66,4.36
2010-09-30,6.4,$0.20,31.65
2010-06-30,5.9,$0.13,46.46
2010-03-31,5.82,$0.42,13.75
2009-12-31,6.1,$0.32,19.32
