Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data,Westinghouse Air Brake Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,169.57,,20.04
2024-06-30,157.85,$8.46,18.65
2024-03-31,145.32,$7.76,18.73
2023-12-31,126.41,$5.67,22.31
2023-09-30,105.7,$4.13,25.58
2023-06-30,108.92,$2.93,37.18
2023-03-31,100.19,$3.79,26.43
2022-12-31,98.79,$4.88,20.24
2022-09-30,80.4,$4.49,17.89
2022-06-30,80.99,$4.73,17.12
2022-03-31,94.73,$4.48,21.12
2021-12-31,90.59,$5.15,17.6
2021-09-30,84.68,$5.19,16.32
2021-06-30,80.73,$5.09,15.85
2021-03-31,77.54,$5.52,14.05
2020-12-31,71.59,$3.51,20.38
2020-09-30,60.41,$4.30,14.05
2020-06-30,56.11,$3.59,15.62
2020-03-31,46.81,$4.12,11.37
2019-12-31,75.55,$4.70,16.06
2019-09-30,69.67,$4.98,13.98
2019-06-30,69.46,$4.04,17.2
2019-03-31,71.24,$2.28,31.25
2018-12-31,67.77,$2.41,28.11
2018-09-30,101.04,$1.21,83.56
2018-06-30,94.87,$1.97,48.22
2018-03-31,78.24,$1.67,46.88
2017-12-31,78.13,$1.05,74.64
2017-09-30,72.57,$1.67,43.41
2017-06-30,87.51,$1.71,51.3
2017-03-31,74.51,$3.20,23.3
2016-12-31,79.21,$4.40,18.02
2016-09-30,77.81,$4.26,18.28
2016-06-30,66.83,$5.38,12.41
2016-03-31,75.38,$4.52,16.67
2015-12-31,67.53,$4.16,16.25
2015-09-30,83.52,$4.62,18.09
2015-06-30,89.32,$4.08,21.88
2015-03-31,89.99,$4.53,19.86
2014-12-31,82.25,$4.39,18.74
2014-09-30,76.66,$3.43,22.34
2014-06-30,78.07,$2.93,26.67
2014-03-31,73.22,$2.02,36.3
2013-12-31,70.13,$2.07,33.88
2013-09-30,59.33,$1.86,31.94
2013-06-30,50.39,$2.32,21.72
2013-03-31,48.12,$2.46,19.57
2012-12-31,41.24,$2.09,19.71
2012-09-30,37.8,$2.31,16.37
2012-06-30,36.7,$1.78,20.61
2012-03-31,35.44,$2.00,17.74
2011-12-31,32.88,$2.19,15.04
2011-09-30,24.84,$1.77,14.0
2011-06-30,30.86,$1.99,15.49
2011-03-31,31.85,$1.62,19.6
2010-12-31,24.83,$1.62,15.31
2010-09-30,22.43,$1.30,17.24
2010-06-30,18.72,$1.38,13.55
2010-03-31,19.76,$1.69,11.68
2009-12-31,19.16,$1.54,12.41
