KANZHUN LIMITED Price to Free Cash Flow Ratio Historical Data,KANZHUN LIMITED Price to Free Cash Flow Ratio Historical Data,KANZHUN LIMITED Price to Free Cash Flow Ratio Historical Data,KANZHUN LIMITED Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.89,,23.02
2024-06-30,18.81,$0.65,29.08
2024-03-31,17.53,$0.76,23.17
2023-12-31,16.61,$0.65,25.37
2023-09-30,15.17,$0.60,25.43
2023-06-30,15.05,$0.42,35.72
2023-03-31,19.03,$0.28,68.28
2022-12-31,20.37,$0.21,96.63
2022-09-30,16.88,$0.71,23.81
2022-06-30,26.28,$-0.72,0.0
2022-03-31,24.91,$0.93,26.91
