Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,142.92,,27.36
2024-04-30,136.78,$5.22,26.18
2024-01-31,129.65,$5.58,23.22
2023-10-31,102.83,$4.98,20.65
2023-07-31,120.89,$4.79,25.27
2023-04-30,134.21,$3.97,33.83
2023-01-31,150.46,$3.55,42.38
2022-10-31,136.67,$3.40,40.16
2022-07-31,132.25,$3.38,39.15
2022-04-30,117.42,$3.48,33.79
2022-01-31,136.94,$4.18,32.73
2021-10-31,154.6,$4.23,36.57
2021-07-31,150.22,$4.12,36.45
2021-04-30,130.85,$4.05,32.29
2021-01-31,117.48,$3.51,33.49
2020-10-31,99.65,$2.57,38.72
2020-07-31,93.86,$2.33,40.22
2020-04-30,74.54,$2.12,35.21
2020-01-31,80.08,$1.89,42.46
2019-10-31,73.32,$2.72,26.92
2019-07-31,67.04,$2.87,23.33
2019-04-30,75.65,$2.75,27.5
2019-01-31,73.15,$2.86,25.54
2018-10-31,62.16,$2.80,22.18
2018-07-31,63.23,$2.48,25.52
2018-04-30,62.79,$2.53,24.84
2018-01-31,69.97,$2.41,29.04
2017-10-31,64.68,$2.19,29.57
2017-07-31,56.73,$2.03,27.94
2017-04-30,52.12,$1.98,26.27
2017-01-31,46.25,$2.03,22.83
2016-10-31,41.03,$1.99,20.64
2016-07-31,45.19,$2.08,21.74
2016-04-30,38.34,$1.83,20.95
2016-01-31,35.17,$1.65,21.38
2015-10-31,35.18,$1.27,27.67
2015-07-31,38.04,$1.05,36.27
2015-04-30,38.34,$0.70,54.42
2015-01-31,34.92,$1.00,34.81
2014-10-31,36.84,$1.60,23.06
2014-07-31,37.3,$2.24,16.62
2014-04-30,35.85,$2.81,12.74
2014-01-31,38.49,$2.76,13.93
2013-10-31,33.52,$2.85,11.74
2013-07-31,29.47,$2.99,9.86
2013-04-30,27.22,$3.04,8.96
2013-01-31,29.33,$3.17,9.27
2012-10-31,23.52,$2.93,8.03
2012-07-31,24.96,$3.04,8.21
2012-04-30,27.42,$3.10,8.83
2012-01-31,27.55,$3.13,8.79
2011-10-31,24.05,$3.07,7.83
2011-07-31,27.35,$2.72,10.05
2011-04-30,32.37,$2.29,14.12
2011-01-31,27.13,$1.93,14.07
2010-10-31,22.57,$1.71,13.19
2010-07-31,18.12,$1.28,14.11
2010-04-30,23.52,$1.13,20.77
2010-01-31,18.18,$0.87,20.79
2009-10-31,16.05,$0.81,19.76
