Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.63,,0.0
2024-06-30,35.06,$-8.76,0.0
2024-03-31,49.08,$-26.41,0.0
