Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data,Royal Caribbean Cruises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,164.62,,0.0
2024-06-30,159.43,$-1.92,0.0
2024-03-31,139.01,$1.81,76.75
2023-12-31,129.49,$2.10,61.8
2023-09-30,92.14,$7.76,11.88
2023-06-30,103.74,$4.55,22.81
2023-03-31,65.3,$-4.59,0.0
2022-12-31,49.43,$-11.97,0.0
2022-06-30,34.91,$-15.54,0.0
2022-03-31,83.78,$-16.05,0.0
2021-12-31,76.9,$-15.60,0.0
2021-09-30,88.95,$-17.91,0.0
2021-06-30,85.28,$-19.39,0.0
2021-03-31,85.61,$-28.41,0.0
2020-12-31,74.69,$-26.45,0.0
2020-09-30,64.73,$-21.26,0.0
2020-06-30,50.3,$-14.68,0.0
2020-03-31,32.17,$-4.62,0.0
2019-12-31,131.95,$3.29,40.05
2019-09-30,106.41,$1.65,64.35
2019-06-30,118.24,$2.04,58.05
2019-03-31,111.16,$5.77,19.26
2018-12-31,94.28,$-0.86,0.0
2018-09-30,124.42,$2.27,54.89
2018-06-30,98.68,$2.97,33.26
2018-03-31,111.51,$3.86,28.87
2017-12-31,112.43,$11.78,9.55
2017-09-30,111.19,$12.20,9.12
2017-06-30,101.93,$11.18,9.12
2017-03-31,91.16,$3.24,28.1
2016-12-31,75.84,$0.10,734.93
2016-09-30,68.89,$-1.06,0.0
2016-06-30,61.32,$-1.58,0.0
2016-03-31,74.65,$2.00,37.24
2015-12-31,91.48,$1.51,60.62
2015-09-30,80.21,$-3.20,0.0
2015-06-30,70.57,$-2.23,0.0
2015-03-31,73.11,$11.56,6.32
2014-12-31,73.34,$0.06,1156.73
2014-09-30,59.64,$5.01,11.91
2014-06-30,49.06,$2.20,22.35
2022-09-30,37.9,$-8.65,0.0
2014-03-31,47.92,$3.27,14.66
2013-12-31,41.45,$2.93,14.13
2013-09-30,33.27,$0.17,192.51
2013-06-30,28.79,$0.51,56.11
2013-03-31,28.59,$0.57,50.35
2012-12-31,29.17,$0.46,63.98
2012-09-30,25.83,$3.61,7.16
2012-06-30,22.17,$0.14,162.63
2012-03-31,24.96,$0.47,53.64
2011-12-31,20.93,$2.86,7.32
2011-09-30,18.21,$-2.07,0.0
2011-06-30,31.54,$0.76,41.36
2011-03-31,34.58,$6.39,5.41
2010-12-31,39.39,$-0.14,0.0
2010-09-30,26.42,$2.26,11.72
2010-06-30,19.08,$1.24,15.34
2009-12-31,21.18,$-6.23,0.0
2009-09-30,20.18,$-1.13,0.0
