Freshworks Price to Free Cash Flow Ratio Historical Data,Freshworks Price to Free Cash Flow Ratio Historical Data,Freshworks Price to Free Cash Flow Ratio Historical Data,Freshworks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.28,,27.42
2024-06-30,12.69,$0.41,30.85
2024-03-31,18.21,$0.36,49.95
2023-12-31,23.49,$0.27,88.31
2023-09-30,19.92,$0.18,109.81
2023-06-30,17.58,$0.08,213.87
2023-03-31,15.36,$-0.02,0.0
2022-12-31,14.71,$-0.05,0.0
2022-09-30,12.97,$-0.04,0.0
2022-06-30,13.15,$-0.02,0.0
