Amplitude Price to Free Cash Flow Ratio Historical Data,Amplitude Price to Free Cash Flow Ratio Historical Data,Amplitude Price to Free Cash Flow Ratio Historical Data,Amplitude Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.94,,72.98
2024-06-30,8.9,$0.12,72.65
2024-03-31,10.88,$0.23,46.58
2023-12-31,12.72,$0.19,66.25
2023-09-30,11.57,$0.12,92.63
2023-06-30,11.0,$0.03,385.96
2023-03-31,12.44,$-0.06,0.0
2022-12-31,12.08,$-0.10,0.0
2022-09-30,15.47,$-0.15,0.0
2022-06-30,14.29,$-0.69,0.0
