STUDIO CITY IH Price to Free Cash Flow Ratio Historical Data,STUDIO CITY IH Price to Free Cash Flow Ratio Historical Data,STUDIO CITY IH Price to Free Cash Flow Ratio Historical Data,STUDIO CITY IH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.43,,0.0
2024-06-30,5.85,$-0.91,0.0
2024-03-31,6.93,$-0.91,0.0
2023-12-31,6.48,$-0.91,0.0
2023-09-30,5.03,$-1.63,0.0
2023-06-30,6.94,$-3.22,0.0
2023-03-31,6.66,$2.56,2.6
2022-12-31,5.96,$0.94,6.32
2022-09-30,2.19,$-2.69,0.0
2022-06-30,2.15,$0.00,0.0
2021-12-31,5.33,$-5.78,0.0
2021-09-30,8.17,$-5.27,0.0
2021-06-30,11.52,$-4.00,0.0
2021-03-31,13.2,$-4.00,0.0
2020-12-31,11.87,$-4.00,0.0
2020-09-30,16.27,$-1.71,0.0
2020-06-30,15.9,$1.68,9.45
2020-03-31,20.2,$2.50,8.07
2019-12-31,19.75,$2.41,8.2
2019-06-30,19.82,$1.22,16.2
2019-03-31,15.83,$0.73,21.82
