Enstar Group Price to Free Cash Flow Ratio Historical Data,Enstar Group Price to Free Cash Flow Ratio Historical Data,Enstar Group Price to Free Cash Flow Ratio Historical Data,Enstar Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,323.39,,0.0
2024-06-30,305.7,$-12.86,0.0
2024-03-31,310.76,$17.68,17.58
2023-12-31,294.35,$33.10,8.89
2023-09-30,242.0,$14.40,16.81
2023-06-30,244.24,$49.44,4.94
2023-03-31,231.79,$55.08,4.21
2022-12-31,231.04,$14.84,15.57
2022-09-30,169.59,$0.70,241.72
2022-06-30,213.98,$74.28,2.88
2022-03-31,261.15,$115.72,2.26
2021-12-31,247.59,$188.85,1.31
2021-09-30,234.73,$239.09,0.98
2021-06-30,238.92,$196.59,1.22
2021-03-31,246.73,$159.80,1.54
2020-12-31,204.89,$127.69,1.6
2020-09-30,161.5,$142.23,1.14
2020-06-30,152.77,$98.75,1.55
2020-03-31,159.05,$65.32,2.44
2019-12-31,206.86,$65.40,3.16
2019-09-30,189.92,$8.81,21.57
2019-06-30,174.28,$4.29,40.61
2019-03-31,174.0,$1.96,88.73
2018-12-31,167.57,$-6.77,0.0
2018-09-30,208.5,$11.28,18.48
2018-06-30,207.3,$-9.56,0.0
2018-03-31,210.25,$-16.53,0.0
2017-12-31,200.75,$-17.57,0.0
2017-09-30,222.35,$-25.61,0.0
2017-06-30,198.65,$-16.08,0.0
2017-03-31,191.3,$-15.25,0.0
2016-12-31,197.7,$3.61,54.82
2016-06-30,161.99,$1.53,106.01
2016-03-31,162.58,$-10.11,0.0
2015-12-31,150.04,$-13.66,0.0
2015-09-30,150.0,$-21.21,0.0
2015-06-30,154.95,$-12.31,0.0
2015-03-31,141.86,$19.64,7.22
2014-12-31,152.89,$29.13,5.25
2014-09-30,136.32,$26.43,5.16
2014-06-30,150.73,$13.72,10.98
2014-03-31,136.31,$-6.23,0.0
2013-12-31,138.91,$-3.74,0.0
2013-09-30,136.6,$-3.41,0.0
2013-06-30,132.98,$-0.76,0.0
2013-03-31,124.29,$-9.78,0.0
2012-12-31,111.98,$-11.26,0.0
2012-09-30,99.65,$43.76,2.28
2012-06-30,98.94,$30.85,3.21
2012-03-31,98.99,$27.34,3.62
2016-09-30,164.47,$17.06,9.64
2011-12-31,98.2,$-64.02,0.0
2011-09-30,95.23,$-46.31,0.0
2011-06-30,104.49,$-27.77,0.0
2011-03-31,99.88,$-55.94,0.0
2010-12-31,84.58,$-44.30,0.0
2010-09-30,72.6,$-61.11,0.0
2010-06-30,66.44,$-66.14,0.0
2010-03-31,69.16,$-24.96,0.0
2009-12-31,73.02,$-14.41,0.0
