Zuora Price to Free Cash Flow Ratio Historical Data,Zuora Price to Free Cash Flow Ratio Historical Data,Zuora Price to Free Cash Flow Ratio Historical Data,Zuora Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.96,,0.0
2024-07-31,9.07,$-0.06,0.0
2024-04-30,9.86,$-0.09,0.0
2024-01-31,9.14,$-0.21,0.0
2023-10-31,7.41,$-0.45,0.0
2023-07-31,11.73,$-0.09,0.0
2023-04-30,7.79,$-0.17,0.0
2023-01-31,7.92,$-0.24,0.0
2022-10-31,7.69,$-0.02,0.0
2022-07-31,8.51,$0.02,475.42
2022-04-30,12.17,$0.04,300.49
2022-01-31,16.63,$0.08,208.4
2021-10-31,21.86,$0.04,615.77
2021-07-31,17.29,$0.04,401.16
2021-04-30,16.2,$0.07,227.21
2021-01-31,14.75,$-0.02,0.0
2020-10-31,9.62,$-0.08,0.0
2020-07-31,11.64,$-0.11,0.0
2020-04-30,10.57,$-0.21,0.0
2020-01-31,14.75,$-0.23,0.0
2019-10-31,14.25,$-0.33,0.0
2019-07-31,15.01,$-0.38,0.0
2019-04-30,22.1,$-0.23,0.0
2019-01-31,21.64,$-0.41,0.0
